iteration,fidelity,n_samples,metallicity,envelope_eff_alpha,sigma_bh,sigma_ns,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,1000.00000,0.02883,56.65666,74.66467,165.93593,0.16913,0.02192,0.00400,0.62831,0.23898
0.00000,0.00000,1000.00000,0.00088,86.88689,973.78381,123.21321,0.20649,0.02192,0.02500,0.66888,0.34658
0.00000,0.00000,1000.00000,0.00501,25.72573,968.92896,691.23120,0.21706,0.02192,0.00900,0.68493,0.39421
0.00000,0.00000,1000.00000,0.01530,65.96597,336.82681,653.36334,0.18978,0.02192,0.00500,0.64973,0.30333
0.00000,0.00000,1000.00000,0.01800,92.39240,689.28931,571.80182,0.17229,0.02192,0.00400,0.64332,0.27651
0.00000,0.00000,1000.00000,0.01150,40.34034,500.92093,597.04706,0.21680,0.02192,0.00400,0.66994,0.35426
0.00000,0.00000,1000.00000,0.01195,70.77077,212.54254,392.17218,0.20466,0.02192,0.00300,0.65740,0.31792
0.00000,0.00000,1000.00000,0.00555,30.23023,857.26727,75.63564,0.22767,0.02192,0.00900,0.69465,0.42443
0.00000,0.00000,1000.00000,0.02946,14.41441,556.26630,706.76678,0.20760,0.02192,0.00400,0.66389,0.33934
0.00000,0.00000,1000.00000,0.02674,16.01602,93.11311,442.66266,0.18427,0.02192,0.00300,0.63807,0.26595
0.00000,0.00000,1000.00000,0.01719,73.27327,464.99500,428.09808,0.18509,0.02192,0.00400,0.64508,0.28333
0.00000,0.00000,1000.00000,0.00199,20.62062,733.95398,659.18921,0.21716,0.02192,0.01600,0.66795,0.35021
0.00000,0.00000,1000.00000,0.01498,92.59259,704.82483,688.31830,0.18153,0.02192,0.00400,0.65164,0.30032
0.00000,0.00000,1000.00000,0.01087,41.04104,216.42642,751.43146,0.21364,0.02192,0.00600,0.65785,0.32374
0.00000,0.00000,1000.00000,0.00249,79.27928,114.47447,666.95697,0.17711,0.02192,0.01500,0.63733,0.24925
0.00000,0.00000,1000.00000,0.02928,24.12412,522.28229,452.37238,0.19853,0.02192,0.00300,0.65300,0.30758
0.00000,0.00000,1000.00000,0.00028,17.71772,404.79480,517.42743,0.22734,0.02192,0.02300,0.66153,0.33831
0.00000,0.00000,1000.00000,0.00312,1.40140,404.79480,290.22021,0.22718,0.02192,0.03000,0.67303,0.37088
0.00000,0.00000,1000.00000,0.01587,26.12613,900.96094,36.79679,0.20495,0.02192,0.00500,0.68084,0.36824
0.00000,0.00000,1000.00000,0.02482,49.94995,739.77979,321.29129,0.19230,0.02192,0.00400,0.66032,0.32463
0.00000,0.00000,1000.00000,0.01617,85.38538,851.44147,441.69168,0.17828,0.02192,0.00400,0.65661,0.31543
0.00000,0.00000,1000.00000,0.01524,54.35435,479.55957,916.49652,0.18484,0.02192,0.00400,0.65111,0.30175
0.00000,0.00000,1000.00000,0.00477,5.70571,524.22424,390.23022,0.21643,0.02192,0.01000,0.66882,0.36186
0.00000,0.00000,1000.00000,0.02189,32.23223,197.00700,357.21722,0.20058,0.02192,0.00300,0.64325,0.28730
0.00000,0.00000,1000.00000,0.02761,98.79880,565.00500,213.51352,0.16565,0.02192,0.00200,0.64078,0.26875
0.00000,0.00000,1000.00000,0.01064,53.55355,427.12714,432.95294,0.19989,0.02192,0.00400,0.65237,0.30656
0.00000,0.00000,1000.00000,0.00836,27.62763,728.12811,645.59558,0.20730,0.02192,0.00600,0.66560,0.33851
0.00000,0.00000,1000.00000,0.02785,19.51952,494.12411,394.11411,0.20492,0.02192,0.00200,0.66182,0.33943
0.00000,0.00000,1000.00000,0.01770,64.56457,872.80280,349.44946,0.20099,0.02192,0.00100,0.68225,0.39280
0.00000,0.00000,1000.00000,0.01366,69.06907,749.48950,935.91589,0.19192,0.02192,0.00600,0.66603,0.33458
0.00000,0.00000,1000.00000,0.00456,60.56056,941.74176,118.35836,0.20330,0.02192,0.01100,0.67358,0.37160
0.00000,0.00000,1000.00000,0.00896,88.68869,490.24023,397.02704,0.17148,0.02192,0.00500,0.63720,0.26081
0.00000,0.00000,1000.00000,0.00582,93.29330,132.92293,576.65668,0.18004,0.02192,0.00600,0.64451,0.26924
0.00000,0.00000,1000.00000,0.01692,25.02502,901.93195,503.83383,0.19759,0.02192,0.00200,0.66842,0.34340
0.00000,0.00000,1000.00000,0.01126,73.37337,768.90894,903.87390,0.19494,0.02192,0.00400,0.67024,0.34909
0.00000,0.00000,1000.00000,0.01572,33.13313,524.22424,116.41642,0.17651,0.02192,0.00400,0.64577,0.28499
0.00000,0.00000,1000.00000,0.00492,80.28028,477.61761,819.39941,0.18060,0.02192,0.00900,0.64987,0.29716
0.00000,0.00000,1000.00000,0.01309,81.28128,648.50848,516.45648,0.17579,0.02192,0.00600,0.64501,0.27880
0.00000,0.00000,1000.00000,0.01333,71.87187,53.30330,671.81183,0.13889,0.02192,0.00600,0.61892,0.19654
0.00000,0.00000,1000.00000,0.01952,26.92693,509.65967,72.72272,0.18927,0.02192,0.00400,0.65261,0.30280
0.00000,0.00000,1000.00000,0.02707,93.69370,653.36334,949.50952,0.17941,0.02192,0.00100,0.66076,0.31624
0.00000,0.00000,1000.00000,0.00971,86.18619,215.45546,61.07107,0.19399,0.02192,0.00500,0.65428,0.32042
0.00000,0.00000,1000.00000,0.00633,91.39139,95.05505,163.02303,0.18817,0.02192,0.00900,0.64525,0.27588
0.00000,0.00000,1000.00000,0.01958,95.69569,880.57056,933.97400,0.19504,0.02192,0.00300,0.67526,0.36110
0.00000,0.00000,1000.00000,0.00749,32.53253,980.58057,873.77380,0.21284,0.02192,0.00800,0.68538,0.38447
0.00000,0.00000,1000.00000,0.02467,44.34435,642.68268,505.77579,0.19857,0.02192,0.00100,0.66508,0.33862
